agency,price,location,link,bedrooms,bathrooms,area
Titanium,2.6 Crore,"Wapda Town Phase 2 - Block Q, Wapda Town Phase 2",https://www.zameen.com/Property/wapda_town_phase_2_wapda_town_phase_2_-_block_q_7_5_marla_double_story_house_available_for_sale_wapda_town_phase_ii_block_q-52193427-14208-1.html,4,5,7 Marla
Titanium,1.75 Crore,"Buch Executive Villas - Phase 2, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_5_marla_brand_new_house_for_sale_in_buch_villas-52212350-19720-1.html,4,5,5 Marla
Titanium,3.2 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_09_marla_ultra_luxurious_designer_house_for_sale_in_buch_executive_villas_multan-51405094-8627-1.html,5,6,9 Marla
Titanium,1.5 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_05_marla_ultra_luxurious_designer_house_for_sale_in_buch_executive_villas_multan-51931710-8627-1.html,4,5,5 Marla
Titanium,3.6 Crore,"Buch Executive Villas - Phase 2, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_10_marla_ultra_modern_designer_house_for_sale_in_buch_villas_multan-50693651-19720-1.html,5,6,10 Marla
Titanium,2.85 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_7_5_marla_modern_house_for_sale_in_buch_villas_multan-50691286-8627-1.html,4,5,7 Marla
Titanium,2.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_6_marla_beautiful_house-51468233-8627-1.html,5,6,6 Marla
,2.9 Crore,"Suraj Kund Road, Multan",https://www.zameen.com/Property/multan_suraj_kund_road_investors_should_sale_this_prime_location_house_located_ideally_in_suraj_kund_road-51957145-8737-1.html,5,6,10 Marla
,3.85 Crore,"Buch Executive Villas - Phase 1, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_1_10_marla_house_for_sale_in_buch_executive_villas_multan-52285703-19719-1.html,5,6,10 Marla
,4.6 Crore,"DHA Defence, Multan",https://www.zameen.com/Property/multan_dha_defence_luxury_house_for_sale_dha_multan-51996416-8581-1.html,6,6,1 Kanal
,1.55 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_luxury_house_for_sale-51994316-9492-1.html,4,4,5 Marla
,2 Crore,"Serene Villas, Jinnah Avenue",https://www.zameen.com/Property/jinnah_avenue_serene_villas_5_marla_house_in_multan_is_available_for_sale-52193329-22097-1.html,3,3,5 Marla
Titanium,3.56 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_ultra_luxury_house_for_sale_in_royal_orchard_multan_near_main_masjid_and_main_park_prime_location-51562266-9492-1.html,5,6,10 Marla
Titanium,3.35 Crore,"Royal Orchard - Multan Public Commercial, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_multan_public_commercial_10_marla_luxury_house_available_for_sale_at_royal_orchard_multan-51611532-9493-1.html,6,5,10 Marla
Titanium,1.65 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_park_face_brand_new_beautiful_house_for_sale_in_buch_villas-51613389-8627-1.html,3,4,5 Marla
Titanium,1.58 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_05_marla_beautiful_double_storey_house_for_sale_in_multan_royal_orchard_3_bedrooms_good_location_near_main_mosque_park_and_market-51936161-9492-1.html,3,4,5 Marla
Titanium,3.38 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_brand_new_luxury_house_available_for_sale_at_royal_orchard_multan-51936330-9492-1.html,5,6,10 Marla
Titanium,4.15 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_12_marla_ultra_brand_new_luxury_house_available_for_sale_at_royal_orchard-51936391-9492-1.html,5,6,12 Marla
Titanium,1.72 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_brand_new_triple_storey_house_available_for_sale_at_buch_villa_s-51954826-8627-1.html,4,5,5 Marla
Titanium,1.52 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_5_marla_brand_new_luxury_house_available_for_sale_at_royal_orchard_multan-51955716-9492-1.html,4,4,5 Marla
